temperature_deg,weather,rainfall_mm,river_level_m,wind_kmph,soil_moisture,past_floods,risk_level
24.3,Cloudy,480.1,5.02,80.1,26.9,3,Severe
17.0,Cloudy,467.4,5.94,3.1,3.2,2,Severe
29.8,Sunny,389.2,14.87,45.2,33.6,2,Severe
19.8,Sunny,243.7,6.87,129.0,98.9,5,Severe
32.9,Stormy,234.9,13.08,53.7,68.2,1,Severe
39.6,Cloudy,90.5,12.99,69.3,46.2,3,Severe
16.9,Windy,300.9,14.52,99.4,13.3,1,Severe
32.7,Rainy,452.6,6.11,79.0,84.3,3,Severe
38.3,Stormy,472.3,10.45,10.3,65.9,4,Severe
26.5,Windy,359.3,10.51,133.3,76.5,0,Severe
31.1,Sunny,139.7,11.49,144.2,4.8,3,Severe
31.8,Sunny,266.6,13.94,5.8,33.1,0,Severe
38.3,Sunny,258.3,14.22,48.3,87.1,5,Severe
18.3,Sunny,230.0,4.11,35.5,53.3,0,Medium
22.9,Cloudy,392.7,11.52,149.7,35.6,2,Severe
27.3,Windy,282.6,13.02,80.9,3.0,0,Severe
23.6,Windy,230.0,2.54,123.1,65.2,3,Severe
24.2,Stormy,118.0,9.11,9.0,74.2,2,Severe
16.7,Cloudy,457.6,14.91,9.3,39.4,5,Severe
35.0,Sunny,0.6,13.92,108.4,53.8,4,Severe
22.8,Cloudy,69.9,7.99,88.0,96.0,4,High
41.6,Stormy,446.3,1.45,125.1,95.3,3,Severe
17.0,Sunny,298.0,13.64,122.3,91.7,4,Severe
36.0,Sunny,426.1,6.41,47.6,27.1,0,Severe
29.6,Windy,363.6,9.49,11.4,27.8,5,High
34.4,Rainy,466.1,5.38,115.2,8.7,0,Severe
15.8,Cloudy,137.2,7.41,24.6,8.2,2,Medium
35.2,Rainy,102.8,13.41,9.7,47.7,4,Severe
22.4,Rainy,446.6,13.93,41.4,94.9,2,Severe
23.4,Windy,201.7,8.64,27.0,32.7,0,High
44.7,Windy,145.8,3.06,28.3,99.9,4,Medium
17.0,Windy,205.1,9.17,62.5,54.5,5,High
29.2,Windy,282.9,4.21,19.3,0.5,2,High
40.3,Windy,221.1,6.83,117.4,34.2,2,High
24.0,Stormy,334.5,5.15,32.2,80.6,2,Severe
34.9,Sunny,291.7,7.31,47.4,6.9,2,High
34.0,Cloudy,29.9,6.51,77.7,83.1,0,Medium
37.2,Cloudy,52.2,8.55,113.4,96.5,0,High
37.6,Cloudy,171.1,9.76,117.0,2.0,2,High
44.2,Cloudy,157.9,14.13,120.7,98.5,2,Severe
20.9,Sunny,81.3,3.0,136.6,25.7,5,Severe
40.1,Rainy,120.7,4.63,31.5,53.9,0,Medium
16.5,Rainy,474.4,1.11,2.9,11.3,3,Severe
22.9,Windy,315.9,7.49,132.2,15.5,2,Severe
38.3,Stormy,498.7,13.31,7.0,98.5,2,Severe
21.9,Rainy,436.5,7.57,11.2,50.8,4,Severe
36.7,Rainy,307.2,1.29,58.2,65.1,0,High
26.2,Windy,438.2,10.2,118.9,41.0,5,Severe
26.5,Sunny,245.5,4.67,18.5,24.6,2,Medium
15.9,Sunny,443.4,3.07,9.0,19.3,1,Severe
42.2,Rainy,422.7,11.09,95.1,56.1,1,Severe
30.0,Cloudy,338.5,3.96,112.8,61.6,0,High
43.2,Windy,451.1,13.95,2.8,82.1,4,Severe
40.0,Cloudy,71.4,6.31,28.5,59.1,4,Medium
27.7,Windy,25.9,3.05,146.2,78.3,1,Severe
30.4,Windy,181.0,3.73,42.9,98.3,4,Medium
34.9,Sunny,66.9,0.98,126.4,6.6,2,Severe
36.4,Stormy,185.9,9.99,127.8,4.2,3,Severe
28.9,Cloudy,161.7,8.67,88.5,85.9,0,High
23.4,Rainy,76.9,2.51,88.5,37.8,0,High
35.2,Windy,292.3,13.27,20.1,72.0,4,Severe
26.7,Sunny,423.4,1.98,92.5,11.1,2,Severe
19.4,Stormy,53.5,1.69,1.5,38.1,4,Severe
19.6,Rainy,371.7,11.47,89.8,66.2,3,High
20.5,Cloudy,209.5,6.23,147.7,56.1,4,Severe
32.3,Sunny,82.0,10.15,147.5,68.8,4,Severe
35.5,Cloudy,85.7,4.94,56.3,50.1,3,Medium
18.5,Windy,288.2,12.91,40.3,18.3,2,Severe
35.8,Sunny,378.4,1.72,98.1,78.8,2,High
20.4,Windy,285.4,14.5,70.2,87.4,0,Severe
18.5,Windy,328.1,14.97,10.3,69.8,1,Severe
18.9,Stormy,469.6,5.47,143.2,9.4,3,Severe
19.5,Sunny,474.8,3.24,140.7,41.2,1,Severe
15.4,Sunny,21.5,14.84,76.9,76.0,4,Severe
28.4,Stormy,422.7,5.36,39.3,47.2,2,Severe
38.6,Stormy,168.5,4.64,140.7,12.2,4,Severe
19.4,Windy,18.2,12.83,20.2,68.4,0,Severe
20.5,Rainy,153.1,2.96,82.0,48.8,0,High
37.6,Rainy,122.5,12.46,82.7,31.3,3,Severe
39.6,Sunny,393.6,6.45,6.9,75.1,3,High
29.0,Sunny,61.3,14.91,133.6,25.2,1,Severe
35.1,Cloudy,384.4,9.84,12.9,66.5,1,High
22.9,Rainy,77.3,11.22,26.3,86.5,2,High
19.4,Cloudy,34.5,14.45,48.4,47.0,0,Severe
25.3,Sunny,60.6,10.96,49.6,57.8,5,High
15.3,Sunny,91.9,12.73,84.5,46.8,3,Severe
26.8,Sunny,138.2,3.09,6.8,27.6,2,Medium
39.4,Windy,365.6,7.62,76.4,8.8,1,High
31.5,Windy,107.5,0.76,83.0,32.2,0,High
26.6,Sunny,178.0,1.23,9.5,81.4,5,Medium
27.2,Sunny,260.9,3.58,60.9,99.4,4,High
19.7,Stormy,18.0,4.3,110.3,2.6,1,Severe
44.3,Stormy,308.6,4.25,74.7,91.2,0,Severe
23.9,Cloudy,67.8,0.77,89.4,24.2,0,High
30.5,Stormy,301.9,6.44,61.9,68.1,0,Severe
28.8,Rainy,87.4,3.18,85.7,40.7,2,High
25.9,Windy,79.8,5.56,126.7,20.1,3,Severe
34.6,Rainy,486.6,0.45,71.1,8.5,0,Severe
17.7,Sunny,172.2,8.78,22.9,28.5,3,High
24.7,Rainy,15.5,14.68,38.7,73.6,1,Severe
30.8,Windy,128.2,1.13,98.9,37.6,2,High
38.1,Sunny,178.2,9.51,33.8,46.0,3,High
43.0,Stormy,22.0,5.69,81.0,73.6,0,Severe
33.1,Rainy,458.1,7.82,77.9,10.1,4,Severe
31.3,Windy,14.7,14.11,75.4,99.5,2,Severe
42.7,Cloudy,471.0,1.45,2.9,63.4,2,Severe
35.3,Stormy,408.2,3.69,7.8,98.1,5,Severe
37.2,Rainy,496.8,2.8,80.8,35.6,1,Severe
42.5,Windy,91.5,9.9,37.5,61.2,0,High
16.2,Windy,162.6,2.06,142.0,45.1,0,Severe
30.4,Rainy,111.3,10.66,139.3,30.5,3,Severe
15.2,Rainy,71.0,13.0,56.4,18.1,3,Severe
18.8,Rainy,178.0,10.64,89.9,15.4,0,High
29.0,Sunny,316.5,4.97,121.4,0.7,4,Severe
43.1,Cloudy,498.6,13.98,76.1,49.4,0,Severe
22.8,Rainy,381.6,6.13,97.4,2.7,5,High
30.0,Rainy,61.0,6.63,35.7,5.3,4,Medium
38.4,Stormy,154.9,8.55,93.0,63.0,2,Severe
34.9,Stormy,469.4,12.4,102.3,87.4,2,Severe
20.0,Rainy,254.5,1.55,97.1,94.7,1,High
20.8,Windy,144.0,3.62,21.3,23.0,0,Medium
40.3,Cloudy,31.8,9.81,84.7,31.5,5,High
15.2,Rainy,487.1,10.83,40.2,30.7,5,Severe
24.7,Rainy,264.8,7.62,41.0,35.1,1,High
31.3,Sunny,192.1,14.88,6.2,50.7,2,Severe
18.3,Rainy,299.5,3.64,63.4,76.7,5,High
15.2,Rainy,169.1,1.08,138.7,49.2,4,Severe
28.5,Stormy,166.1,5.47,141.3,70.5,1,Severe
33.0,Cloudy,324.9,13.7,60.6,32.2,0,Severe
33.7,Stormy,72.1,11.06,82.5,46.0,3,Severe
22.8,Rainy,105.5,3.95,19.6,5.9,4,Medium
18.8,Windy,142.5,3.97,116.4,11.4,2,High
31.6,Cloudy,273.5,3.24,148.1,80.5,4,Severe
27.8,Stormy,425.6,7.13,91.0,30.1,0,Severe
40.0,Sunny,249.0,10.2,23.0,35.8,3,High
38.6,Windy,381.8,5.21,139.7,12.6,3,Severe
19.4,Sunny,415.1,6.53,102.9,40.8,0,Severe
35.4,Windy,199.0,5.19,44.3,86.6,4,Medium
31.6,Windy,170.2,8.48,92.7,48.0,0,High
33.6,Rainy,83.1,14.76,142.0,19.1,2,Severe
24.9,Stormy,448.0,7.33,101.2,20.9,4,Severe
39.7,Stormy,496.3,0.65,69.4,47.9,4,Severe
27.2,Windy,253.3,3.54,121.0,0.8,3,Severe
20.0,Cloudy,383.1,14.03,47.1,28.1,2,Severe
27.9,Rainy,460.4,2.51,91.5,63.6,3,Severe
43.6,Cloudy,23.1,12.09,2.9,54.3,4,Severe
37.2,Sunny,343.4,1.51,12.5,92.8,2,High
26.1,Rainy,433.9,4.42,48.0,33.0,2,Severe
40.5,Rainy,130.3,8.42,22.3,91.4,1,High
30.3,Sunny,165.4,3.12,90.8,32.2,1,High
22.5,Cloudy,454.2,3.98,129.9,13.3,0,Severe
17.0,Rainy,472.0,5.66,2.2,17.3,2,Severe
23.7,Stormy,445.0,12.63,4.0,70.9,5,Severe
30.6,Cloudy,429.4,1.23,101.7,2.0,2,Severe
31.3,Windy,228.1,12.72,106.7,78.3,1,Severe
29.7,Cloudy,112.5,0.49,48.8,65.5,3,Medium
35.8,Stormy,406.7,13.08,35.5,82.6,2,Severe
31.3,Rainy,134.1,14.16,95.6,23.6,0,Severe
24.8,Rainy,30.1,12.35,128.4,53.5,0,Severe
26.6,Stormy,406.2,5.79,109.8,25.1,0,Severe
32.2,Sunny,279.5,13.81,14.5,94.0,1,Severe
15.9,Windy,345.7,5.74,9.2,72.3,1,High
29.9,Windy,168.8,13.33,90.6,49.3,3,Severe
16.4,Stormy,449.2,10.06,132.3,99.8,4,Severe
18.2,Cloudy,405.2,12.89,99.5,68.4,1,Severe
20.0,Sunny,417.3,3.48,18.1,57.5,3,Severe
18.1,Windy,174.9,6.78,1.3,74.3,1,Medium
39.5,Sunny,83.9,11.17,110.2,46.9,2,High
20.8,Cloudy,35.4,5.38,38.9,13.2,2,Medium
44.1,Sunny,460.1,13.17,101.9,9.6,3,Severe
26.4,Rainy,234.6,1.97,97.2,62.1,1,High
43.9,Rainy,345.9,2.85,7.4,82.0,2,High
39.8,Rainy,309.3,14.41,124.3,52.0,0,Severe
17.8,Rainy,73.8,3.89,67.8,78.8,1,Medium
19.3,Stormy,490.1,4.32,89.5,15.6,4,Severe
40.1,Sunny,199.1,11.05,35.9,72.1,4,High
38.3,Cloudy,407.2,11.38,107.3,86.8,2,Severe
40.1,Stormy,227.4,13.44,98.4,91.1,2,Severe
19.3,Sunny,65.5,1.49,47.3,24.4,3,Medium
28.3,Stormy,342.1,6.2,60.6,17.3,5,Severe
42.7,Stormy,86.2,4.26,59.6,23.0,5,Severe
27.3,Sunny,89.5,14.6,122.8,76.4,1,Severe
26.4,Stormy,202.1,6.32,67.6,48.9,5,Severe
27.3,Cloudy,202.6,5.93,132.3,86.9,0,Severe
28.7,Windy,158.8,14.29,77.2,59.9,5,Severe
44.7,Windy,433.3,6.15,14.2,92.4,3,Severe
22.9,Stormy,130.8,14.75,57.5,2.5,5,Severe
37.8,Stormy,492.5,7.53,146.5,67.4,3,Severe
19.6,Rainy,120.4,5.39,103.6,22.4,3,High
33.3,Sunny,494.2,14.3,140.2,94.8,2,Severe
21.8,Cloudy,271.7,5.9,60.8,4.8,2,High
27.3,Cloudy,355.3,9.79,52.8,43.9,0,High
21.6,Cloudy,85.1,2.48,61.7,6.1,4,Medium
40.3,Windy,224.9,10.8,65.7,33.7,3,High
34.1,Stormy,389.9,8.51,69.3,78.8,2,Severe
34.7,Windy,5.7,12.89,29.4,60.0,5,Severe
32.6,Sunny,235.6,3.32,26.0,63.3,2,Medium
25.0,Windy,381.8,11.97,110.3,67.1,0,High
18.0,Cloudy,454.3,5.68,64.5,37.6,0,Severe
21.9,Sunny,64.6,12.54,17.4,70.7,2,Severe
27.4,Cloudy,185.0,1.3,95.3,94.3,0,High
36.4,Windy,153.8,6.6,27.0,12.3,0,Medium
29.6,Rainy,14.2,11.72,91.1,85.8,4,High
28.5,Stormy,361.4,10.95,77.1,24.1,5,Severe
36.6,Windy,397.6,11.57,53.5,55.5,3,High
29.3,Rainy,461.5,3.67,1.8,2.1,5,Severe
33.0,Rainy,434.2,14.83,98.7,51.3,3,Severe
23.6,Cloudy,66.8,12.93,128.4,75.8,1,Severe
35.7,Stormy,47.4,10.01,0.5,81.8,1,Severe
22.6,Stormy,68.6,6.29,114.6,29.3,1,Severe
24.4,Windy,373.4,6.54,37.4,89.3,5,High
42.7,Cloudy,74.8,10.88,143.0,51.0,5,Severe
43.2,Rainy,413.6,2.33,24.3,92.3,0,Severe
22.0,Cloudy,408.9,13.25,23.1,21.6,4,Severe
33.4,Stormy,494.2,5.48,58.3,71.9,0,Severe
38.4,Windy,433.4,12.99,95.4,14.8,1,Severe
35.1,Windy,34.7,9.43,31.3,47.0,3,High
42.6,Stormy,135.2,4.79,124.3,80.6,4,Severe
29.8,Windy,211.5,4.57,0.8,33.3,5,Medium
38.5,Cloudy,480.3,13.95,128.8,65.4,2,Severe
30.8,Rainy,73.8,7.73,7.7,63.7,2,Medium
30.6,Stormy,253.0,11.31,118.5,39.4,5,Severe
36.9,Sunny,243.4,1.58,1.9,49.0,4,Medium
30.2,Stormy,491.3,11.84,14.8,94.9,0,Severe
30.6,Stormy,215.9,1.75,13.6,27.2,3,Severe
22.3,Sunny,327.8,7.29,45.2,61.4,4,High
41.2,Stormy,336.4,8.26,4.8,52.2,3,Severe
16.6,Stormy,281.0,8.39,110.3,70.2,2,Severe
42.4,Rainy,48.7,4.38,93.8,11.1,3,High
23.4,Windy,286.3,11.31,139.3,45.3,1,Severe
25.9,Cloudy,241.8,3.65,29.5,2.7,1,Medium
22.1,Windy,36.6,1.41,122.4,65.1,4,Severe
17.9,Sunny,487.7,10.63,22.3,53.5,3,Severe
16.6,Stormy,100.3,2.47,117.4,31.9,4,Severe
37.9,Stormy,198.4,0.93,30.5,75.5,2,Severe
30.9,Cloudy,99.6,13.38,149.2,2.4,4,Severe
30.4,Sunny,235.4,14.4,100.3,74.3,1,Severe
42.6,Windy,483.1,6.74,88.7,27.3,4,Severe
22.2,Sunny,0.7,1.11,114.7,55.0,4,High
36.4,Windy,342.0,6.2,116.0,79.6,5,High
22.5,Sunny,468.6,7.06,71.2,7.2,4,Severe
44.5,Cloudy,392.0,10.51,14.1,60.6,4,High
23.8,Cloudy,95.6,8.6,74.3,33.2,3,High
32.0,Sunny,33.5,13.1,110.8,97.5,0,Severe
36.3,Windy,175.0,5.3,26.1,25.3,2,Medium
26.7,Sunny,399.3,14.76,147.1,22.2,5,Severe
43.9,Cloudy,1.9,0.15,47.6,65.1,2,Medium
27.0,Rainy,272.0,11.56,10.0,0.0,0,High
32.5,Cloudy,487.0,2.69,21.2,90.9,4,Severe
22.2,Stormy,351.6,11.86,11.1,2.1,3,Severe
30.7,Windy,74.3,8.87,8.2,74.0,4,High
20.1,Sunny,148.9,8.13,54.0,34.6,4,High
32.9,Cloudy,300.5,9.11,141.8,89.1,4,Severe
42.4,Sunny,169.0,5.69,42.0,21.4,1,Medium
27.7,Cloudy,258.6,5.97,33.0,65.9,2,High
20.9,Rainy,266.9,0.24,104.7,37.0,1,High
43.4,Windy,258.5,14.26,120.1,36.1,4,Severe
34.3,Stormy,184.4,6.22,15.7,4.6,4,Severe
28.6,Sunny,174.0,13.38,92.2,26.3,0,Severe
16.3,Rainy,428.8,13.65,3.1,97.6,5,Severe
40.2,Windy,171.9,13.32,56.2,84.3,3,Severe
28.3,Rainy,407.0,12.58,32.4,64.8,5,Severe
15.5,Cloudy,327.1,1.81,45.5,36.6,4,High
29.4,Rainy,172.7,2.73,88.3,64.7,1,High
15.0,Rainy,193.0,3.77,10.2,3.5,3,Medium
23.3,Cloudy,114.1,0.56,58.2,94.1,0,Medium
20.5,Sunny,177.2,10.72,24.7,41.1,0,High
28.9,Rainy,142.0,11.59,108.5,21.3,0,High
36.4,Windy,343.2,12.96,68.4,78.9,2,Severe
37.4,Windy,235.0,13.44,109.1,93.0,0,Severe
43.1,Cloudy,226.0,14.09,46.6,8.8,4,Severe
28.5,Sunny,18.6,9.13,54.1,42.3,0,High
38.3,Sunny,385.4,11.66,23.4,43.4,5,High
27.9,Cloudy,472.8,14.82,120.4,82.1,0,Severe
35.9,Stormy,140.1,7.43,9.4,88.4,2,Severe
41.3,Cloudy,12.6,1.69,91.4,31.9,4,High
39.7,Rainy,269.3,4.65,117.6,95.1,4,High
28.4,Stormy,388.0,4.12,74.5,54.4,3,Severe
28.0,Rainy,421.5,5.95,104.6,4.0,5,Severe
23.7,Sunny,371.8,14.33,36.1,51.6,2,Severe
23.7,Cloudy,18.9,14.31,66.2,81.7,3,Severe
41.7,Rainy,436.7,1.37,131.2,42.3,0,Severe
17.1,Stormy,57.5,10.43,49.1,85.1,4,Severe
42.8,Windy,444.9,14.14,106.1,2.9,5,Severe
25.3,Rainy,327.6,12.27,106.5,19.6,1,Severe
27.4,Windy,256.8,9.91,43.9,30.0,5,High
24.3,Windy,334.2,5.57,74.9,91.1,0,High
31.3,Cloudy,247.2,1.72,14.9,22.8,5,Medium
29.1,Stormy,282.2,5.75,93.7,25.3,2,Severe
36.5,Stormy,170.2,12.13,18.9,74.6,4,Severe
21.3,Stormy,115.4,10.26,85.8,0.2,5,Severe
28.9,Stormy,10.1,3.75,12.0,17.6,4,Severe
34.2,Sunny,5.9,9.96,139.4,92.4,0,Severe
21.2,Windy,449.2,10.73,69.5,98.6,0,Severe
19.4,Cloudy,308.4,7.76,121.0,44.7,2,Severe
37.5,Sunny,370.5,14.62,85.8,9.1,1,Severe
21.2,Windy,192.1,10.68,83.9,58.1,0,High
44.5,Stormy,280.3,0.19,33.0,51.7,1,Severe
22.3,Windy,173.9,5.37,16.0,3.5,2,Medium
26.0,Cloudy,434.6,5.77,90.7,53.5,1,Severe
34.9,Stormy,327.4,6.68,113.8,60.2,5,Severe
35.4,Sunny,253.7,9.77,61.7,66.5,1,High
27.2,Cloudy,61.9,5.29,61.4,26.2,2,Medium
42.4,Stormy,391.0,6.53,97.5,65.5,3,Severe
32.3,Cloudy,116.8,1.25,13.6,10.1,0,Low
28.9,Rainy,290.7,11.49,8.2,28.3,5,High
43.8,Cloudy,335.8,5.63,43.0,28.7,5,High
38.5,Sunny,16.7,5.78,71.9,64.0,5,Medium
28.7,Stormy,128.0,6.45,26.8,95.7,0,Severe
21.4,Sunny,310.8,2.94,44.7,49.9,1,High
33.0,Cloudy,362.4,14.44,98.0,89.8,4,Severe
30.9,Windy,100.2,4.35,131.7,23.0,1,Severe
19.3,Rainy,184.5,12.74,73.9,18.0,3,Severe
38.8,Windy,67.2,10.65,54.5,74.7,3,High
38.4,Windy,299.2,6.55,57.7,9.1,0,High
42.8,Cloudy,8.2,3.81,111.7,98.4,3,High
21.7,Cloudy,480.7,7.11,50.8,13.9,3,Severe
34.9,Sunny,94.6,11.23,132.0,4.1,4,Severe
44.6,Cloudy,56.6,7.51,115.3,92.5,2,High
28.9,Rainy,16.7,3.08,57.4,19.0,0,Medium
37.8,Rainy,165.6,8.23,43.9,27.2,5,High
31.2,Windy,57.8,4.47,32.3,68.4,5,Medium
25.6,Cloudy,161.4,13.71,82.3,82.5,1,Severe
30.1,Cloudy,64.9,9.17,143.1,71.8,1,Severe
33.8,Windy,192.1,13.56,83.7,32.1,1,Severe
29.1,Cloudy,236.1,0.64,45.8,68.5,4,Medium
25.6,Windy,465.3,0.35,2.0,80.7,1,Severe
38.1,Sunny,174.4,12.29,15.7,97.4,2,Severe
20.4,Rainy,291.1,5.44,39.2,64.2,0,High
33.0,Cloudy,159.4,8.29,137.7,53.5,4,Severe
28.6,Windy,263.4,1.6,117.1,42.3,2,High
19.6,Stormy,112.0,3.53,121.3,99.6,1,Severe
26.1,Cloudy,247.4,9.43,112.3,16.1,3,High
42.9,Rainy,486.2,1.05,85.8,2.2,2,Severe
31.5,Stormy,184.2,5.99,108.8,1.3,4,Severe
37.1,Sunny,57.3,1.24,99.7,24.0,2,High
19.4,Cloudy,284.5,14.42,19.2,88.5,2,Severe
15.1,Stormy,119.9,2.16,87.3,47.6,4,Severe
23.3,Cloudy,50.5,4.25,15.7,23.1,5,Medium
38.3,Cloudy,481.9,9.93,44.2,62.2,0,Severe
27.9,Rainy,137.7,4.02,80.8,78.8,1,High
43.3,Sunny,279.0,8.48,48.1,86.9,2,High
33.1,Stormy,301.0,2.78,14.2,75.8,3,Severe
25.6,Windy,205.7,13.46,46.7,48.3,2,Severe
22.3,Sunny,22.4,8.37,18.2,6.0,1,High
15.4,Cloudy,253.0,12.67,113.4,33.0,1,Severe
32.8,Sunny,191.3,11.74,92.8,37.4,3,High
22.0,Stormy,297.2,5.66,1.2,99.3,1,Severe
34.6,Rainy,372.9,3.71,16.4,41.9,3,High
28.3,Sunny,165.0,9.58,98.7,55.5,0,High
21.9,Sunny,278.2,6.9,125.9,69.6,1,Severe
22.0,Rainy,60.5,0.03,7.0,51.6,1,Medium
29.9,Sunny,96.4,1.86,62.7,41.6,4,Medium
24.0,Stormy,478.2,3.33,123.6,85.2,4,Severe
26.5,Cloudy,34.4,5.68,34.3,51.1,3,Medium
17.9,Sunny,90.8,3.34,40.7,39.2,0,Low
26.7,Cloudy,55.5,14.93,138.3,3.0,0,Severe
26.2,Windy,469.8,12.76,89.5,91.7,4,Severe
33.5,Sunny,64.1,3.62,110.2,55.1,1,High
29.0,Rainy,156.3,0.92,122.9,63.9,3,Severe
21.1,Rainy,212.7,0.11,137.2,52.3,1,Severe
34.9,Rainy,344.3,1.13,76.3,95.6,0,High
42.8,Cloudy,10.1,12.93,5.3,85.6,1,Severe
34.1,Stormy,327.6,4.42,79.4,34.0,0,Severe
25.0,Cloudy,450.6,7.98,44.6,9.3,2,Severe
31.0,Stormy,62.0,2.24,18.2,44.1,1,Severe
33.6,Sunny,488.3,9.49,87.0,30.5,1,Severe
28.4,Rainy,379.9,6.38,37.2,27.1,4,High
27.0,Rainy,21.8,5.93,42.2,95.9,4,Medium
35.6,Stormy,292.5,9.97,122.9,9.1,1,Severe
16.7,Rainy,199.4,14.27,43.7,9.4,4,Severe
38.0,Cloudy,219.2,0.36,116.0,18.2,5,High
26.0,Stormy,436.5,0.46,115.5,70.7,3,Severe
29.3,Cloudy,432.5,3.12,19.4,55.1,3,Severe
24.3,Sunny,152.6,13.28,54.0,19.0,2,Severe
21.3,Cloudy,447.9,4.09,100.8,43.4,0,Severe
